"","PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","GameID","PitchUID","EffectiveVelo","MaxHeight","MeasuredDuration","SpeedDrop","PitchLastMeasuredX","PitchLastMeasuredY","PitchLastMeasuredZ","ContactPositionX","ContactPositionY","ContactPositionZ","GameUID","UTCDate","UTCTime","LocalDateTime","UTCDateTime","AutoHitType","System","HomeTeamForeignID","AwayTeamForeignID","GameForeignID","Catcher","CatcherId","CatcherThrows","CatcherTeam","PlayID","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence","DetectedShift","X1B_PositionAtReleaseX","X1B_PositionAtReleaseZ","X2B_PositionAtReleaseX","X2B_PositionAtReleaseZ","X3B_PositionAtReleaseX","X3B_PositionAtReleaseZ","SS_PositionAtReleaseX","SS_PositionAtReleaseZ","LF_PositionAtReleaseX","LF_PositionAtReleaseZ","CF_PositionAtReleaseX","CF_PositionAtReleaseZ","RF_PositionAtReleaseX","RF_PositionAtReleaseZ","X1B_Name","X1B_Id","X2B_Name","X2B_Id","X3B_Name","X3B_Id","SS_Name","SS_Id","LF_Name","LF_Id","CF_Name","CF_Id","RF_Name","RF_Id","FHC","Counter_1","date_str","game_date","formatted_date","GameNumber","Games","Tilt_1","Tilt_2","Count","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_L1","Zone_L2","Zone_L3","Zone_L4","Zone_Name","AB","SLG_VAL","Out_Zone_NotSwinging","In_Zone_NotSwinging","Out_Zone_Swinging","In_Zone_Swinging","Strike_Awarded","SacrificeFly","hc_x","hc_y","location_x","location_y","season","strikeZone"
"1",1,"2024-05-04","15:00:10.99",1,1,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Bland, Adam",1000051261,"Right","HEN_COL","Undefined",1,"Top",0,0,0,"Fastball","Four-Seam","StrikeSwinging","Undefined","Undefined","Undefined",0,0,NA,86.44405,-1.680757,-1.891541,2098.856429,200.266045,6.18457,0.79056,6.03902,-15.28217,21.8671,7.63945,3.35357,-0.3248,79.07035,-4.622265,-0.517563,0.438679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.42095,12.04264,-0.64698,50,6.04492,3.83212,-125.50159,-4.06324,-7.06294,24.99764,-12.93464,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","888e3980-0a48-11ef-95bf-e9a63ec3eba3",85.92265,NA,NA,7.37369,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:00:10.99","2024-05-04T15:00:10.9907700-04:00","2024-05-04T19:00:10.9907700Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","6a07f240-95cb-4bbe-98e6-e367fca9ec6c",54.45615,-126.38606,12.49882,6.18059,-3.60559,-6.46732,-0.78698,4.08202,-3.53147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",99.33536,71.48238,152.74617,41.46534,75.68881,-55.34495,147.28353,-47.7981,290.67303,-145.96411,358.65623,-7.94653,288.74239,167.53217,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",1,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",12,45,"0-0",1,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,1,1,0,NA,NA,NA,NA,"spring24","in"
"2",2,"2024-05-04","15:00:28.18",1,2,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Bland, Adam",1000051261,"Right","HEN_COL","Undefined",1,"Top",0,0,1,"Fastball","Four-Seam","BallCalled","Undefined","Undefined","Undefined",0,0,NA,86.5173,-1.175113,-0.803211,2181.260797,205.248378,6.17001,0.85651,5.75496,-15.34249,22.34978,9.94445,3.79736,0.9375,78.6095,-4.131883,0.976889,0.441873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.24457,12.04898,-0.79575,50,6.06319,1.33155,-125.54181,-2.9677,-8.32915,26.57447,-13.03852,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","92c6a630-0a48-11ef-95bf-e9a63ec3eba3",85.30149,NA,NA,7.9078,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:00:28.18","2024-05-04T15:00:28.1857268-04:00","2024-05-04T19:00:28.1857268Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","36389ff7-a464-451b-9cdc-27e0015bd0d1",54.73872,-126.54092,13.28723,6.16555,-2.4775,-6.51926,-0.8517,1.6447,-4.16457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",100.35739,73.94814,153.19984,43.46366,76.69206,-56.73407,151.10682,-48.27814,294.61486,-148.07812,361.44481,-6.38801,285.43245,165.38376,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",2,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",12,45,"0-1",0,0,0,0,0,0,0,0,0,0,1,0,0,"L2",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","buffer"
"3",3,"2024-05-04","15:00:43.86",1,3,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Bland, Adam",1000051261,"Right","HEN_COL","Undefined",1,"Top",0,1,1,"Curveball","Curveball","BallCalled","Undefined","Undefined","Undefined",0,0,NA,76.55133,2.977792,-0.848859,2437.683182,14.647054,6.12924,0.91158,5.41423,-59.05243,-9.87497,-3.02512,4.00059,-0.13577,69.41371,-7.792164,-1.387196,0.504725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23441,-5.24906,-0.83405,50,6.35357,1.76442,-110.91063,3.7376,1.51817,22.17781,-38.62971,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","9c226e80-0a48-11ef-95bf-e9a63ec3eba3",74.67922,NA,NA,7.13762,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:00:43.86","2024-05-04T15:00:43.8639860-04:00","2024-05-04T19:00:43.8639860Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","86ea7512-9dd8-45e1-8384-90a75d538f2b",55.08303,-111.92242,11.0889,6.14285,5.49996,-19.31486,-0.91297,1.69516,0.75908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",98.84187,74.70691,153.50664,42.5946,78.87633,-57.93156,152.18409,-49.11474,293.69274,-147.984,361.89704,-6.67789,285.18835,164.68469,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",3,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",6,30,"1-1",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"4",4,"2024-05-04","15:00:59.23",1,4,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Bland, Adam",1000051261,"Right","HEN_COL","Undefined",1,"Top",0,2,1,"Fastball","Four-Seam","BallCalled","Undefined","Undefined","Undefined",0,0,NA,85.79734,-0.282795,-0.80704,2079.044443,203.849726,6.09653,1.10124,5.79616,-16.65119,21.62438,8.99481,4.44587,1.10011,77.86872,-3.484981,0.804144,0.445279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.76465,11.43367,-1.04002,50,6.06323,1.36874,-124.51092,-1.04722,-7.43994,26.24137,-14.32048,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","a5428d60-0a48-11ef-95bf-e9a63ec3eba3",84.64905,NA,NA,7.92862,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:00:59.23","2024-05-04T15:00:59.2338676-04:00","2024-05-04T19:00:59.2338676Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","a0ffc8ba-de69-4bea-b551-f23800b6826f",54.69682,-125.49689,13.12069,6.09246,-0.50915,-7.16024,-1.0967,1.64829,-3.71997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",100.31931,75.81382,150.21097,44.12045,78.41466,-57.15114,150.43621,-47.72171,297.10462,-149.56045,361.1838,-8.70689,285.39833,166.14761,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",4,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",12,45,"2-1",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"5",5,"2024-05-04","15:01:16.68",1,5,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Bland, Adam",1000051261,"Right","HEN_COL","Undefined",1,"Top",0,3,1,"Fastball","Four-Seam","BallCalled","Walk","Undefined","Undefined",0,0,NA,86.64815,-3.900616,-1.679079,2129.715907,193.960054,6.14918,0.92515,6.03399,-14.76438,22.42324,5.26815,1.29981,-0.19106,79.25433,-6.734267,-0.731429,0.438905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.15949,12.97052,-0.79678,50,5.83595,3.46391,-125.54587,-8.92357,-5.04075,25.50835,-11.48055,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","afa8c0d0-0a48-11ef-95bf-e9a63ec3eba3",85.87839,NA,NA,7.39383,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:01:16.68","2024-05-04T15:01:16.6876916-04:00","2024-05-04T19:01:16.6876916Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","0a4adc73-5a5d-40d1-bfce-67b6c581e724",54.46079,-126.44896,12.75418,6.14468,-8.51711,-5.74028,-0.92258,3.64238,-2.52038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",100.1437,76.2624,149.85399,44.00782,92.11469,-72.40916,149.59399,-49.60926,294.49917,-148.50072,359.69195,-8.2795,282.6371,164.52605,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",5,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",12,30,"3-1",0,0,0,0,0,0,0,0,0,0,0,1,0,"L3",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","buffer"
"6",6,"2024-05-04","15:01:51.60",2,1,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Marriott, Zach",1000137984,"Left","HEN_COL","Undefined",1,"Top",0,0,0,"Fastball","Four-Seam","StrikeCalled","Undefined","Undefined","Undefined",0,0,NA,85.57149,-2.369062,-3.070304,2074.240068,204.218577,6.20361,0.78341,5.67671,-20.11733,18.93725,7.88229,2.31428,-1.42464,77.36843,-6.180658,-1.663769,0.449788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.92063,10.73792,-0.52929,50,5.99117,6.30228,-123.81681,-5.71662,-7.5497,27.41005,-15.69887,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","c47c0580-0a48-11ef-95bf-e9a63ec3eba3",83.80053,NA,NA,8.20306,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:01:51.60","2024-05-04T15:01:51.6005620-04:00","2024-05-04T19:01:51.6005620Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","300a5c0e-43ad-41f8-baa0-8b6b52b08ce3",54.81603,-124.87842,13.70502,6.20081,-5.1086,-7.84944,-0.77904,6.59468,-3.77485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",65.67083,57.88526,141.64131,54.29619,77.78953,-49.37622,148.53329,-15.90017,291.01102,-146.13521,362.68312,-3.4112,285.94767,178.31763,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",6,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",12,45,"0-0",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,1,0,NA,NA,NA,NA,"spring24","out"
"7",7,"2024-05-04","15:02:27.69",2,2,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Marriott, Zach",1000137984,"Left","HEN_COL","Undefined",1,"Top",0,0,1,"ChangeUp","Changeup","StrikeSwinging","Undefined","Undefined","Undefined",0,0,NA,79.39309,-0.7274,-2.541127,1886.924325,239.534482,5.78612,1.4198,5.7124,-34.33872,10.71044,15.55391,2.24622,0.34713,72.18017,-7.103477,0.241099,0.483075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.62233,6.14453,-1.21662,50,5.70427,4.49465,-115.09593,-2.52916,-11.46284,23.14174,-24.00531,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","da03cd20-0a48-11ef-95bf-e9a63ec3eba3",78.02602,NA,NA,7.21291,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:02:27.69","2024-05-04T15:02:27.6934388-04:00","2024-05-04T19:02:27.6934388Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","333d951f-a5fb-451e-96e5-95d142e2a8ec",54.78236,-116.05351,11.57087,5.78837,-1.53585,-12.00266,-1.41241,4.96897,-5.73142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",65.33766,58.86039,139.52712,50.94212,77.73432,-48.26356,148.83445,-17.27364,290.93592,-146.16148,364.6766,2.24394,282.25433,176.46462,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",7,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",2,0,"0-1",0,0,0,0,0,1,0,0,0,0,0,0,0,"6",0,0,0,0,0,1,1,0,NA,NA,NA,NA,"spring24","in"
"8",8,"2024-05-04","15:03:05.71",2,3,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Marriott, Zach",1000137984,"Left","HEN_COL","Undefined",1,"Top",0,0,2,"ChangeUp","Changeup","InPlay","Undefined","GroundBall","Out",1,0,NA,78.74119,0.11074,-1.637175,1919.780044,236.69253,5.70228,1.70201,5.89323,-33.66848,11.8565,15.62245,2.99943,1.48346,71.37158,-6.18703,1.167356,0.48562,71.96597,-35.805358,14.298,NA,NA,NA,NA,6.84857,6.84857,-3.710052,0.05035,-8.56878,6.48437,-1.57947,50,5.69198,2.68912,-114.26406,-0.76792,-11.18719,23.50812,-23.70821,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","f0abd1d0-0a48-11ef-95bf-e9a63ec3eba3",77.61719,3.12249,NA,7.36961,NA,NA,NA,2.63972,3.12249,-1.51216,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:03:05.71","2024-05-04T15:03:05.7144052-04:00","2024-05-04T19:03:05.7144052Z","GroundBall","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","8274544e-f6ad-41ff-9bb1-2e0d5e337187",54.60359,-115.20729,11.75406,5.7037,0.18334,-11.85411,-1.69637,3.13799,-5.5936,180,2.63683,83.30766,NA,NA,NA,NA,NA,NA,NA,3.12464,-62.01622,NA,NA,NA,NA,NA,NA,NA,-1.5129,21.23176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","","","","NoShift",64.75455,59.41223,139.80542,54.39366,113.19163,-66.07694,148.84588,-18.23103,287.40057,-145.36876,362.32329,-2.50797,283.88639,168.11773,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",8,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",2,0,"0-2",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",1,0,0,0,1,0,1,0,-6.98509427528255,107.722724360078,-331.012735688206,226.368189099804,"spring24","out"
"9",9,"2024-05-04","15:04:10.86",3,1,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Job, Drake",1000237939,"Right","HEN_COL","Undefined",1,"Top",1,0,0,"Fastball","Four-Seam","BallCalled","Undefined","Undefined","Undefined",0,0,NA,86.15103,-0.731162,-1.657697,2065.016429,201.12427,6.14545,1.0849,5.71141,-18.85194,19.69584,7.05646,3.89298,0.12819,77.36854,-4.344457,-0.396092,0.44686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.08488,10.61697,-0.9504,50,6.0728,3.30367,-124.80368,-2.12009,-6.33328,29.10059,-15.71332,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","17768b70-0a49-11ef-95bf-e9a63ec3eba3",84.34964,NA,NA,8.78249,NA,NA,NA,NA,NA,NA,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:04:10.86","2024-05-04T15:04:10.8603124-04:00","2024-05-04T19:04:10.8603124Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","d950b746-1c34-4ed7-b040-7822e3257262",54.77996,-125.9133,14.5503,6.14222,-1.52093,-7.85666,-1.08097,3.54516,-3.16664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",64.04532,58.33439,148.72348,25.22507,76.42122,-54.77488,151.94182,-34.6289,288.7556,-143.3283,363.27057,-5.05117,296.7232,162.53645,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",9,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",12,45,"0-0",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"10",10,"2024-05-04","15:04:51.52",3,2,"Cowdrey, Harrison",10148538,"Right","CEN_COL","Job, Drake",1000237939,"Right","HEN_COL","Undefined",1,"Top",1,1,0,"Fastball","Four-Seam","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,85.79897,-1.272079,-1.694575,2079.528443,208.247291,6.14264,0.85699,5.81343,-19.67674,18.81332,9.37556,3.3194,0.06218,77.5785,-5.020949,-0.014762,0.446525,67.65574,46.966508,57.738353,6100.167363,NA,NA,NA,NA,57.42841,NA,NA,-5.29973,10.3863,-0.72376,50,6.02694,3.28982,-124.40919,-3.32563,-8.20994,27.65623,-16.08434,"CEN_COL","HEN_COL","GaryWright","D3","SOUTH","20240504-GaryWright-1","2facf850-0a49-11ef-95bf-e9a63ec3eba3",84.41288,56.52811,NA,8.22047,NA,NA,NA,-0.04922,3.17045,-0.14796,"7d268391-3d54-4859-b015-5fd1c2ee4ff1","2024-05-04","19:04:51.52","2024-05-04T15:04:51.5229428-04:00","2024-05-04T19:04:51.5229428Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","68fa5449-5569-4e6a-9df6-7cae45fa652f",54.68099,-125.44546,13.82812,6.14026,-2.72296,-8.04217,-0.8528,3.59744,-4.10497,210.599496,-0.04922,36.14584,-14.38944,4.2188,-0.99048,0.23233,-0.06827,0.02268,-0.00448,3.17045,72.53138,-21.13265,1.36906,-0.05529,-0.04391,0.01217,0.00027,-0.00065,-0.14796,57.26189,-8.70252,2.67372,-0.65153,0.15633,-0.04504,0.01431,-0.00274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","Low","","","","NoShift",64.29273,58.68908,145.70415,26.14745,81.33565,-57.38408,149.85668,-33.31432,287.41981,-143.07315,362.86316,-5.50108,293.66447,156.91886,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",10,"20240504",2024-05-04,"05-04-24","1","HEN_COL vs CEN_COL on 05-04-24 , Game 1",1,0,"1-0",0,1,0,0,0,0,0,0,0,0,0,0,0,"2",0,0,0,0,0,0,0,0,NA,NA,NA,NA,"spring24","in"
